ID,Building,Current Rating,Total m�,kgCO2 indicator,Heating kWh/m�/yr,Electricity kWh/m�/yr,Typical Building kWh/m�/yr,Next Rating Indicator,Valid Until,SEAI Number,Previous Rating
852,Civic Offices,E1,40862,106.09,85.41,215.68,286.42,100,45442,800917668,E1
17,Tara Street Fire Station,D2,5571,99.08,199.98,287.78,500.6,87.5,45442,800917700,D2
1198,Ballymun Leisure Centre,C3,4508,68.94,819.44,181.55,1435.62,67,45442,800917742,B3
1200,Ballyfermot Leisure Centre,C2,4429,58.08,589.48,104.55,1183.42,58.5,45442,800917783,B3
16,O'Brien Institute,E2,3666,120.41,290.11,231.22,434.04,112.5,45442,800917734,F
736,Pearse Street Library,C2,3535,61.22,93.76,187.1,465.08,58.5,45442,800917759,C1
1197,Finglas Leisure Centre,D1,2690,76.75,870.93,285.01,1500.95,75,45442,800917791,C1
1406,Poppintree Community Sports Centre,B3,2513,45.59,143.23,69.33,455.73,42,45442,800918013,B3
1195,Cabra Parkside Sports Centre,B2,2256,39.51,106.32,116.27,569.63,33.5,45442,800918039,B2
850,City Hall,D2,2051,94.1,205.5,153.79,380.76,87.5,45442,800918070,D2
735,Central Library,C2,2013,60.25,117.67,158.34,461.63,58.5,45442,800918088,D1
1097,St Catherine's Sports Centre,D2,1925,97.63,449.41,61.87,322.78,87.5,45442,800918096,D2
740,Cabra Library,C3,1860,69.32,154.09,149.01,435.96,67,45442,800918004,C1
656,Inchicore Sports Centre,B1,1669,25.04,99.81,62.51,648.82,25,45442,800918476,B1
1495,Clogher Road Community and Sports Centre,C2,1497,62.21,122.09,76.75,319.92,58.5,45442,800918617,C1
1205,Ballybough Community and Sports Centre,B3,1495,57.12,150.61,141.47,515.22,50,45442,800918633,C1
1196,Irishtown Sports and Fitness,B1,1482,25.04,99.81,62.51,648.82,25,45442,800918674,C1
1170,Markievicz Leisure Centre,E2,1421,120.52,944.18,465.57,1171.95,112.5,45442,800918716,E2
15,Phibsboro Fire Station,D2,1354,100.13,299.12,278.23,585.28,87.5,45442,800918757,C2
13,North Strand Fire Station,D2,1100,99.97,321.6,256.27,585.28,87.5,45442,800918765,D1
1175,Aughrim Street Sports Centre,D2,1008,87.92,183.72,40.26,252.31,87.5,45442,800918781,B3
1181,St Laurence O'Toole Recreation Centre,C1,1001.5,57.38,129.2,54.22,318.13,50,45442,800918831,C2
